Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Risk,Purpose
67,male,skilled,own,little,little,1169,6,0,radio/TV
22,female,skilled,own,little,moderate,5951,48,1,radio/TV
49,male,unskilled_and_non-resident,own,little,little,2096,12,0,education
45,male,skilled,free,little,little,7882,42,0,furniture/equipment
53,male,skilled,free,little,little,4870,24,1,car
35,male,unskilled_and_non-resident,free,little,moderate,9055,36,0,education
53,male,skilled,own,quite rich,moderate,2835,24,0,furniture/equipment
35,male,highly skilled,rent,little,moderate,6948,36,0,car
61,male,unskilled_and_non-resident,own,rich,moderate,3059,12,0,radio/TV
28,male,highly skilled,own,little,moderate,5234,30,1,car
25,female,skilled,rent,little,moderate,1295,12,1,car
24,female,skilled,rent,little,little,4308,48,1,business
22,female,skilled,own,little,moderate,1567,12,0,radio/TV
60,male,unskilled_and_non-resident,own,little,little,1199,24,1,car
28,female,skilled,rent,little,little,1403,15,0,car
32,female,unskilled_and_non-resident,own,moderate,little,1282,24,1,radio/TV
53,male,skilled,own,little,moderate,2424,24,0,radio/TV
25,male,skilled,own,little,little,8072,30,0,business
44,female,highly skilled,free,little,moderate,12579,24,1,car
31,male,skilled,own,quite rich,moderate,3430,24,0,radio/TV
48,male,skilled,own,little,little,2134,9,0,car
44,male,skilled,rent,quite rich,little,2647,6,0,radio/TV
48,male,unskilled_and_non-resident,rent,little,little,2241,10,0,car
44,male,skilled,own,moderate,moderate,1804,12,0,car
26,male,skilled,own,little,moderate,2069,10,0,furniture/equipment
36,male,unskilled_and_non-resident,own,little,little,1374,6,0,furniture/equipment
39,male,unskilled_and_non-resident,own,little,little,426,6,0,radio/TV
42,female,skilled,rent,rich,rich,409,12,0,radio/TV
34,male,skilled,own,little,moderate,2415,7,0,radio/TV
63,male,skilled,own,little,little,6836,60,1,business
36,male,skilled,own,rich,moderate,1913,18,0,business
27,male,skilled,own,little,little,4020,24,0,furniture/equipment
30,male,skilled,own,moderate,moderate,5866,18,0,car
57,male,unskilled_and_non-resident,rent,little,moderate,1264,12,0,business
33,female,highly skilled,own,little,rich,1474,12,0,furniture/equipment
25,male,unskilled_and_non-resident,own,little,moderate,4746,45,1,radio/TV
31,male,skilled,free,little,little,6110,48,0,education
37,male,skilled,own,little,rich,2100,18,1,radio/TV
37,male,skilled,own,little,rich,1225,10,0,domestic appliances
24,male,skilled,own,little,moderate,458,9,0,radio/TV
30,male,highly skilled,own,quite rich,moderate,2333,30,0,radio/TV
26,male,skilled,own,quite rich,moderate,1158,12,0,radio/TV
44,male,unskilled_and_non-resident,own,little,moderate,6204,18,0,repairs
24,male,skilled,rent,moderate,little,6187,30,0,car
58,female,unskilled_and_non-resident,free,little,little,6143,48,1,car
35,female,highly skilled,own,little,little,1393,11,0,car
39,male,skilled,own,quite rich,moderate,2299,36,0,radio/TV
23,female,unskilled_and_non-resident,rent,quite rich,little,1352,6,0,car
39,male,unskilled_and_non-resident,own,little,little,7228,11,0,car
28,female,skilled,own,moderate,moderate,2073,12,0,radio/TV
29,male,unskilled_and_non-resident,own,little,moderate,2333,24,0,furniture/equipment
30,male,highly skilled,own,little,moderate,5965,27,0,car
25,male,skilled,own,little,little,1262,12,0,radio/TV
31,male,skilled,own,little,moderate,3378,18,0,car
57,male,skilled,free,little,moderate,2225,36,1,car
26,male,unskilled_and_non-resident,own,little,moderate,783,6,0,car
52,male,highly skilled,own,little,moderate,6468,12,1,radio/TV
31,female,skilled,own,little,little,9566,36,0,radio/TV
23,female,highly skilled,own,little,rich,1961,18,0,car
23,female,unskilled_and_non-resident,rent,little,little,6229,36,1,furniture/equipment
27,male,skilled,own,little,moderate,1391,9,0,business
50,male,skilled,own,little,moderate,1537,15,0,radio/TV
61,male,highly skilled,free,little,moderate,1953,36,1,business
25,male,skilled,own,little,moderate,14421,48,1,business
26,female,skilled,own,little,little,3181,24,0,radio/TV
48,male,skilled,own,little,moderate,5190,27,0,repairs
29,female,skilled,own,little,little,2171,12,0,radio/TV
